SZG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;N.Cilindro;Propriedade;Cod. Proprie;Loja Proprie;Nome Proprie;Capacidade;Dt.Fabric;Dt.Validade;Cod. Barras;Cil. Cond.;Dt.Cond.Cil.;Peso Cilindr;Org Inspetor;Bloqueado?;Fabricante;Filial Propr;Revisado?;N.Pinado Cil;N.Usado Cli.;Cod.Produto;Desc.Produto;Cod.Prod.BP3;Desc.Prod.P3;Status;Tp Embalagem;Cod.Memo 1;Dt.Inc.Cad.
1;0;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;50;01/01/2014;01/01/2019;0B0050010114;Nao;  /  /  ;49,5;SBI;Não;MAT SA ;;Sim;0;0;MI0060121;;;;Em Uso      ;Cilindro;;  /  /  
1;617340;Cliente;1808;1;SERVICO AUTONOMO DE AGUA E ESGOTO - PEDRA BRANCA;50;01/11/2018;01/11/2023;617340C005001112018;Nao;  /  /  ;48,7;SBI;Não;CILBRAS;;Sim;617340;617340;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;3029;Cliente;1827;1;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;50;01/05/2018;01/05/2023;03029C005001052018;Nao;  /  /  ;54,2;SBI;Não;MAT SA ;;Sim;H03029;H03029;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;1016;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/03/2017;01/03/2022;1016C006801032017;Nao;  /  /  ;64,1;SBI;Não;MAT SA ;;Sim;BCH1016;BCH1016;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;623152;Cliente;1874;1;SAAE- SERV.AUT.AGUA E ESGOTO - PALMARES;50;01/08/2015;01/08/2020;623152C005001082015;Nao;  /  /  ;55,8;SBI;Não;MAT SA ;;Sim;623152;623152;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;94123;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/08/2016;01/08/2021;94123C006801082016;Nao;  /  /  ;72,3;SBI;Não;GBC    ;;Sim;94123;94123;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;50;01/06/2018;01/06/2023;001B005001062018;Nao;  /  /  ;50;SBI;Não;MAT SA ;;Sim;AIC001;AIC001;MI0060121;CILINDRO CAPACIDADE 50 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;3;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/11/2015;01/11/2020;003C0050011115;Nao;  /  /  ;65;SBI;Não;MAT SA ;;Sim;3;3;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;50;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/01/2019;01/01/2024;0050C0068010119;Nao;  /  /  ;74,4;SBI;Não;MAT SA ;;Sim;WT0050;WT0050;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;6;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/07/2016;01/07/2021;006C0050010716;Nao;  /  /  ;58;SBI;Não;MAT SA ;;Sim;6;6;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
